GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500219,2015-11-25,2015,regular_season,TOR,3.0,98.4,43.5,18.2,0.42460000000000003,1.5,CLE,2.0,105.8,45.4,24.3,0.4748,6.3,1,train
0021500220,2015-11-25,2015,regular_season,HOU,4.0,102.7,46.0,21.1,0.42279999999999995,-4.2,MEM,1.0,97.6,38.8,20.3,0.43,-1.4,0,train
0021500221,2015-11-25,2015,regular_season,MIL,2.0,95.8,38.7,22.5,0.45550000000000007,-5.5,SAC,2.0,103.6,45.5,25.3,0.4548,-2.8,0,train
0021500222,2015-11-25,2015,regular_season,MIN,2.0,102.9,45.7,20.7,0.4617,-1.1,ATL,1.0,104.6,38.9,27.5,0.4756,2.1,1,train
0021500223,2015-11-25,2015,regular_season,OKC,2.0,107.6,45.8,21.2,0.46509999999999996,6.2,BKN,3.0,99.2,46.9,21.6,0.44210000000000005,-4.8,1,train
0021500224,2015-11-25,2015,regular_season,SAS,2.0,100.6,45.1,26.5,0.4795,9.0,DAL,1.0,104.0,41.9,21.6,0.462,2.5799999999999996,1,train
0021500225,2015-11-25,2015,regular_season,PHX,2.0,106.7,44.1,20.1,0.46180000000000004,3.0,NOP,3.0,102.6,41.1,22.3,0.4577,-3.9,0,train
0021500226,2015-11-25,2015,regular_season,LAC,1.0,101.9,40.4,21.8,0.45219999999999994,-3.7,UTA,2.0,94.7,42.2,18.2,0.4311,-3.4,0,train
0021500227,2015-11-27,2015,regular_season,CHA,2.0,104.7,41.3,21.5,0.4633999999999999,3.9,CLE,2.0,106.1,44.8,24.4,0.4789,4.9,0,train
0021500228,2015-11-27,2015,regular_season,ORL,2.0,98.1,46.0,21.5,0.4229,-0.4,MIL,2.0,98.5,38.8,23.1,0.4625,-7.0,1,train
0021500229,2015-11-27,2015,regular_season,BOS,2.0,101.1,43.3,23.9,0.43970000000000004,4.0,WAS,2.0,102.3,41.7,22.9,0.4492999999999999,-5.4,1,train
0021500230,2015-11-27,2015,regular_season,NYK,2.0,95.3,45.7,19.1,0.4104,-0.4,MIA,2.0,95.1,46.0,19.0,0.44239999999999996,3.7,0,train
0021500231,2015-11-27,2015,regular_season,IND,3.0,104.6,44.7,22.9,0.4593,10.9,CHI,3.0,99.3,47.4,23.5,0.42169999999999996,0.5,1,train
0021500232,2015-11-27,2015,regular_season,HOU,2.0,100.1,44.9,20.2,0.41740000000000005,-5.6,PHI,2.0,88.4,43.8,17.2,0.4035,-13.7,1,train
0021500233,2015-11-27,2015,regular_season,MEM,2.0,98.2,39.3,20.4,0.4307,1.4,ATL,2.0,102.0,40.1,25.9,0.46020000000000005,1.1,0,train
0021500234,2015-11-27,2015,regular_season,OKC,2.0,108.8,45.6,21.7,0.4725,7.9,DET,2.0,97.5,45.3,17.4,0.4258,-0.8,1,train
0021500235,2015-11-27,2015,regular_season,DEN,3.0,102.2,43.5,22.3,0.4441,-5.6,SAS,2.0,99.5,45.4,26.7,0.47450000000000003,9.8,0,train
0021500236,2015-11-27,2015,regular_season,PHX,2.0,106.3,44.4,19.9,0.4534000000000001,0.3,GSW,3.0,112.2,42.7,29.2,0.4917999999999999,13.1,0,train
0021500237,2015-11-27,2015,regular_season,SAC,2.0,105.5,45.4,25.0,0.4689,-1.1,MIN,2.0,102.6,44.4,20.3,0.46259999999999996,-1.6,0,train
0021500238,2015-11-27,2015,regular_season,LAC,2.0,100.2,39.8,21.2,0.454,-4.4,NOP,2.0,103.1,42.1,21.3,0.4596,-2.7,1,train
0021500239,2015-11-28,2015,regular_season,WAS,1.0,99.1,42.0,22.8,0.4391999999999999,-8.0,TOR,3.0,100.0,43.1,18.3,0.44029999999999997,2.4,0,train
0021500240,2015-11-28,2015,regular_season,CLE,1.0,104.8,45.3,23.2,0.46980000000000005,4.8,BKN,3.0,100.4,47.1,21.2,0.4444,-4.5,1,train
0021500241,2015-11-28,2015,regular_season,DAL,3.0,101.6,42.3,21.7,0.4554,1.1800000000000002,DEN,1.0,99.8,42.8,21.7,0.442,-5.2,1,train
